Y,ID,Supervisor,Date,Priority,Price,Speed,Duration,Temp,Location,Agreed,State,Class,Surface,survey1,survey2,survey3,survey4,survey5,survey6,survey7,survey8,survey9,survey10,survey11,survey12,survey13,survey14,survey15,survey16,survey17,survey18,survey19,survey20,survey21,survey22,survey23,survey24,survey25,survey26,survey27,survey28,survey29,survey30
15.41601382,T9939,KG,6/01/2013,Medium,Cheap,Slow,Long,Hot,Control room,Yes,Checked,Ceramic,Rough,21.66971814,19.72414301,27.3279362,15.99874534,35.89193256,27.66751107,32.78587888,14.47423732,20.06309075,33.85716184,114.2371173,124.7680693,110.5462812,109.5575213,114.0923967,117.9861804,117.4523397,121.0674856,132.3774725,123.6785968,54.05549366,79.43700677,75.70801383,64.83184912,64.39312461,66.735824,70.8799581,63.88834616,69.15923452,82.14825254
3.84482864,T9940,KG,13/01/2013,High,Extravagant,Fast,Very Long,Warm,Storage tanks,No,Under review,Wooden,Textured,-1.095845132,14.24978135,4.868553004,6.726226087,8.324889775,8.121604516,0.427014232,3.38760831,5.653286065,0.173962263,153.7582884,171.5149444,161.1736273,161.4420913,139.8123349,169.1317189,163.3742018,167.0658949,169.4227071,171.0008639,40.86604622,34.96876087,32.99397583,19.73615794,29.13421884,38.17079059,33.31650573,36.23067976,29.19804812,36.48070129
19.39267725,T9941,HH,20/01/2013,Low,Extravagant,Slow,Long,Hot,Steam plant,No,Uncertain,Wooden,Rough,7.415401553,-2.56504095,7.229201659,0.043036133,4.657158899,8.359452963,2.467947209,5.543053374,-0.138183781,1.912446785,145.2781892,141.2313835,133.3171767,130.880916,143.6611697,146.1371124,127.5293208,152.1088015,130.9322905,133.079603,53.17779785,49.38866886,47.03458236,40.99737977,51.86608594,41.27386557,30.219453,52.39860008,44.67683281,42.58856653
16.59934964,T9942,HH,28/01/2013,Low,Extravagant,Fast,Short,Cold,Storage tanks,Yes,Uncertain,Wooden,Smooth,8.552071319,10.41842399,13.65227651,12.97522599,19.93775675,17.53929427,14.29627027,11.43902699,12.21937459,9.611606143,255.480955,248.6941165,246.4002861,245.6116621,265.042545,244.6725738,232.5081731,237.0990517,243.9597493,266.8689457,65.18717521,68.64240441,56.8966902,69.988669,44.71298882,57.63921344,49.69959142,57.8868461,71.11196415,68.63559348
27.9908229,T9943,HH,3/02/2013,High,NA,Fast,Long,Warm,Steam plant,Yes,Uncertain,Ceramic,Rough,28.80624843,26.84472104,29.59175776,27.50138038,34.35625362,32.67209232,NA,29.24847878,21.45914618,NA,125.1008494,130.5342077,117.2222855,121.9149767,127.3532081,128.9353344,136.0386536,119.5257942,120.5633366,138.6268052,65.45335832,63.69066727,61.82872953,68.25794448,57.08310334,NA,70.41983366,76.95307991,69.91018804,NA
20.42675854,T9944,KL,11/02/2013,High,Cheap,Medium,Short,Warm,Storage tanks,No,Under review,Wooden,Rough,10.34312451,17.55750643,32.52654606,26.22172587,29.22898982,25.96529642,18.7909838,33.20775067,13.54716987,28.11157797,147.6513099,NA,155.2987465,141.5262313,161.194424,150.4115485,160.5105177,146.6890049,159.6058014,139.9939354,57.25569431,57.51804844,61.20494181,61.64956637,63.24832875,62.46164515,55.16206898,74.41665633,69.25080641,68.15371389
25.51640298,T9945,HH,17/02/2013,Medium,Extravagant,Medium,NA,Hot,Storage tanks,Yes,Uncertain,Ceramic,Rough,21.65153528,12.50757975,30.00095614,17.55561252,NA,8.088440782,15.0625831,NA,20.7262691,17.29670767,184.1462682,NA,171.8953665,NA,164.825537,166.5771265,174.9072339,158.419386,165.7476746,168.9389915,49.55897497,52.11128121,25.33409914,43.07654501,22.92692361,NA,27.35488618,42.51574556,25.56742445,26.48731491
5.391866831,T9946,KL,25/02/2013,Low,Cheap,Fast,Short,Warm,Storage tanks,Yes,Checked,Ceramic,Rough,15.43902647,16.99629667,14.47572196,19.05326994,20.63036685,20.28350485,23.49672867,24.59991266,11.21670303,12.17360244,146.5763761,NA,157.0001653,161.5698285,130.1569432,161.3985523,141.486661,153.276488,154.7564979,159.936265,67.4398831,63.3212133,70.51944377,66.10785808,74.17313862,59.22610023,70.98470418,79.80022788,71.41459832,63.67075518
2.887917074,T9947,HH,3/03/2013,Low,Cheap,Fast,Short,Hot,Control room,Yes,Uncertain,Wooden,Textured,-6.046858039,-3.211825444,0.564320444,-4.32552854,2.953004381,-3.80183267,-8.436748003,3.824657192,9.404362946,0.909975018,135.662654,134.5538194,137.86478,128.0125278,155.135113,139.561844,145.3364744,121.8274148,125.6390844,121.6600314,73.51500131,69.1491891,78.72615324,82.20422615,69.3409162,75.30448122,71.34883256,60.3929017,71.29167255,73.75266223
15.90694171,T9948,KG,11/03/2013,High,Extravagant,Medium,Very Long,Hot,Storage tanks,No,Checked,Ceramic,Textured,46.81686485,36.50669899,31.79478191,32.88618945,34.64786407,42.65088123,39.31309147,41.16019568,33.01968942,35.93829122,127.6381188,129.2817108,120.562894,132.3273853,138.7746812,127.0172481,126.8227455,136.9323599,127.7592714,120.1909134,62.77550161,53.95387092,48.01608263,68.36073974,50.71736346,54.68770696,52.87629529,42.94228455,49.98865868,51.12541608
5.740760885,T9949,HH,18/03/2013,Low,Costly,Medium,Very Long,NA,Storage tanks,Yes,Under review,Ceramic,Textured,15.86945704,8.954631141,25.79811031,20.30654324,17.65295651,16.71887028,12.73695903,NA,7.398480004,13.76962584,240.0849088,259.1418872,260.4458256,237.8018306,252.038141,NA,236.0094262,NA,245.6042365,237.8124851,38.95066526,41.07346024,31.35307571,44.8670479,42.80581555,42.69137616,NA,38.79261509,47.23348575,31.75172577
13.35091904,T9950,HH,25/03/2013,Low,Costly,Medium,Short,Hot,Control room,No,Checked,Ceramic,Rough,16.91658024,12.14119513,21.96616685,14.84680623,14.89263215,8.662084483,17.91415012,14.35867904,20.41732773,20.03332084,169.2004966,179.0539817,174.5490495,154.1769255,174.0688998,169.0417781,155.5998924,162.1789374,177.9191701,159.9153322,58.01040055,44.30774047,44.54827891,50.17223019,39.84782902,54.73550017,37.97687849,46.90178085,41.31493224,50.51003674
17.65785675,T9951,HH,31/03/2013,Medium,Costly,Medium,Short,Warm,Steam plant,Yes,Under review,Wooden,Textured,14.10649398,18.36018992,20.61256867,6.037318383,10.25523273,13.45190523,17.97943462,14.58332406,27.09814556,10.69857124,162.1289601,170.194955,162.5208548,169.7104104,160.5701418,166.8026719,165.9250505,168.8258214,154.9472471,168.674944,65.14994042,69.82858993,49.11324306,66.6459375,73.9341884,72.25887533,67.3731552,60.4351861,53.37280754,67.30844974
17.04161501,T9952,HH,8/04/2013,Medium,Extravagant,Fast,Long,Hot,Storage tanks,No,Checked,Ceramic,Textured,14.4073568,13.93305729,17.05362667,12.11254779,15.69049295,9.976940453,15.34614129,3.458940868,17.04258451,10.12878793,147.3757573,139.7558522,146.2248238,151.6563697,157.2191674,149.092697,134.9833344,154.3327099,162.1340204,138.3059215,68.8530369,80.16271626,74.08618957,64.3167838,89.48141058,65.58600261,60.31357272,60.49621244,61.19398212,64.96170207
26.8206554,T9953,KG,14/04/2013,Medium,Extravagant,Medium,Long,Hot,Control room,Yes,Checked,Ceramic,Rough,21.74773381,23.0741558,18.28281431,27.12287556,20.72886316,30.75735813,24.17075447,23.19975789,27.27667782,36.34406836,178.8824857,NA,159.6320592,156.8741412,165.5198468,173.7603452,151.98374,153.9931538,165.0870888,155.5882895,50.24362535,53.62105463,43.16768539,41.74377226,48.08025952,33.37357601,39.41032828,56.31614161,53.67210252,39.80991472
20.63483639,T9954,HH,22/04/2013,Medium,Cheap,Medium,Short,Hot,Storage tanks,Yes,Checked,Wooden,Textured,30.4259703,24.72155409,25.52257857,23.1598031,33.27981429,29.88680321,31.73944305,37.72165444,25.06401038,32.96647307,236.1996215,214.4873891,216.0487853,239.0883959,238.8646446,237.5795123,229.9168661,211.8396574,219.7004095,234.1006498,56.41836674,53.26001489,50.94559621,62.72699825,51.91688519,54.9951761,66.5117261,63.68750208,65.38780432,42.93539017
